epoch	train_loss	val_loss	val_mIoU	val_OA
29	0.325919	0.372203	0.638056	0.871698
30	0.304977	0.466620	0.629346	0.859463
31	0.292020	0.629804	0.647289	0.816099
32	0.320938	0.502491	0.570994	0.823249
33	0.301886	0.631445	0.554137	0.780182
34	0.306685	0.290493	0.735772	0.902280
35	0.329231	0.417151	0.699350	0.844284
36	0.315416	0.293826	0.764206	0.903728
37	0.293249	0.356708	0.710042	0.882712
38	0.280277	0.428802	0.722974	0.862024
39	0.290620	0.277332	0.740499	0.906756
40	0.279844	0.319983	0.749084	0.881960
41	0.281917	0.371233	0.744082	0.881361
42	0.287463	0.269791	0.767855	0.907096
43	0.279052	0.478452	0.717902	0.851495
44	0.264325	0.828485	0.561528	0.767315
45	0.265949	0.329996	0.744766	0.897738
46	0.267287	0.400514	0.703546	0.841063
47	0.260856	0.296393	0.767362	0.901128
48	0.283449	0.470532	0.701140	0.852408
49	0.260218	0.375694	0.697577	0.887149
50	0.272251	0.309234	0.769579	0.902500
51	0.252031	0.343885	0.737955	0.886178
52	0.237876	0.277849	0.782865	0.911166
53	0.228078	0.280144	0.776461	0.903023
54	0.239051	0.272869	0.781781	0.910022
55	0.237503	0.299183	0.760645	0.895557
56	0.240761	0.283313	0.778628	0.909341
57	0.238305	0.295082	0.770952	0.902545
58	0.245643	0.323557	0.750303	0.889630
59	0.252863	0.280975	0.758105	0.902864
60	0.236883	0.309275	0.745802	0.900755
61	0.221633	0.285562	0.780584	0.910642
62	0.216996	0.276810	0.770861	0.910473
63	0.219863	0.368825	0.721323	0.860598
64	0.214365	0.285475	0.779808	0.909967
65	0.216157	0.289894	0.784073	0.912735
66	0.223599	0.289455	0.781064	0.908909
67	0.228641	0.268834	0.776617	0.912799
68	0.223104	0.458660	0.693763	0.834140
69	0.223125	0.319308	0.761470	0.891116
70	0.225229	0.325338	0.760746	0.890199
71	0.204400	0.273710	0.785557	0.912365
72	0.201521	0.265804	0.785211	0.912135
73	0.204822	0.273935	0.788921	0.912697
74	0.191882	0.280238	0.787233	0.913299
75	0.208490	0.278575	0.780517	0.910228
76	0.196970	0.302356	0.770090	0.890552
77	0.191337	0.284226	0.783780	0.912955
78	0.197100	0.278914	0.785430	0.913985
79	0.185986	0.277365	0.789292	0.913496
80	0.194666	0.271790	0.788301	0.914614
81	0.194356	0.271933	0.788310	0.914502
82	0.199062	0.263019	0.788707	0.914511
83	0.192263	0.346414	0.743769	0.870279
84	0.185059	0.274299	0.787860	0.914935
85	0.170517	0.287063	0.774136	0.911956
86	0.176976	0.268935	0.787606	0.914747
87	0.176791	0.265512	0.789300	0.912839
88	0.176375	0.270844	0.786942	0.911515
89	0.176594	0.275801	0.785813	0.911476
90	0.181331	0.277034	0.780654	0.909016
91	0.169966	0.269452	0.783974	0.912037
92	0.185590	0.267581	0.787860	0.913781
93	0.178417	0.272221	0.786754	0.913062
94	0.180166	0.275513	0.783146	0.911292
95	0.171121	0.274754	0.779730	0.911162
96	0.172841	0.272370	0.780794	0.912374
97	0.172616	0.272566	0.780131	0.911753
98	0.169853	0.271141	0.780737	0.912267
99	0.170181	0.270969	0.780974	0.912206
100	0.165128	0.271761	0.781227	0.912393
1	1.121426	5.675673	0.094006	0.449065
2	0.648545	1.449354	0.098349	0.522253
3	0.559818	1.403325	0.171737	0.584934
4	0.489059	1.070315	0.217145	0.636582
5	0.522499	0.564292	0.392497	0.797432
6	0.456670	0.429867	0.532819	0.854064
7	0.442644	0.667759	0.381754	0.768467
8	0.411289	0.523170	0.477961	0.800652
9	0.392629	0.649449	0.385867	0.770478
10	0.366576	0.589128	0.411417	0.771135
11	0.375893	0.496955	0.475110	0.818892
12	0.393244	0.561523	0.401214	0.804956
13	0.357511	0.531435	0.476401	0.790220
14	0.359244	0.389676	0.557778	0.869113
15	0.394963	0.585806	0.406117	0.816441
16	0.329241	0.599688	0.420320	0.802929
17	0.336676	0.353785	0.598071	0.880823
18	0.358359	0.533623	0.447388	0.779571
19	0.370732	0.454118	0.511545	0.819302
20	0.358834	0.340762	0.540365	0.881201
21	0.370049	0.609487	0.392679	0.752754
22	0.366639	0.499505	0.525019	0.829122
23	0.331207	0.903264	0.407516	0.669484
24	0.322922	0.394158	0.560328	0.869321
25	0.325064	0.449884	0.482351	0.838557
26	0.328513	0.365786	0.538324	0.872575
27	0.338855	0.432924	0.497898	0.852518
28	0.342958	0.817504	0.325074	0.723335
29	0.329921	0.736145	0.320146	0.742398
30	0.305652	0.421550	0.704253	0.849725
31	0.294645	0.678404	0.616974	0.809141
32	0.315095	0.400169	0.688073	0.861496
33	0.302018	0.525090	0.632905	0.774579
34	0.298892	0.315740	0.753370	0.898752
35	0.325160	0.339225	0.727458	0.886099
36	0.301627	0.493121	0.700779	0.867193
37	0.296987	0.316114	0.742389	0.896955
38	0.278967	0.356956	0.744245	0.882038
39	0.293279	0.385761	0.669813	0.855070
40	0.283702	0.667718	0.532163	0.737293
41	0.283742	0.467357	0.580256	0.860411
42	0.317870	1.048020	0.399893	0.696358
43	0.288468	0.419402	0.652998	0.836265
44	0.271223	0.525867	0.662719	0.824274
45	0.268769	0.473216	0.657848	0.850883
46	0.277831	0.343938	0.711059	0.880805
47	0.266555	0.311683	0.762868	0.900072
48	0.291925	0.548631	0.641393	0.837960
49	0.265972	0.361649	0.728685	0.870747
50	0.272948	0.296054	0.772706	0.906894
51	0.261185	0.289034	0.776796	0.909412
52	0.252072	0.282066	0.766652	0.904392
53	0.233605	0.283042	0.777834	0.910367
54	0.245308	0.300517	0.768108	0.905537
55	0.241538	0.299377	0.767547	0.905661
56	0.244775	0.270484	0.771981	0.910695
57	0.248143	0.283767	0.773777	0.905873
58	0.240833	0.326008	0.755709	0.897269
59	0.258641	0.267406	0.785231	0.912472
60	0.240647	0.345542	0.757979	0.891783
61	0.235685	0.293617	0.758079	0.896025
62	0.224272	0.335734	0.730792	0.877761
63	0.224177	0.296046	0.782468	0.910065
64	0.215633	0.325225	0.769293	0.898050
65	0.220252	0.301002	0.779627	0.910560
66	0.231789	0.333982	0.751151	0.867397
67	0.243616	0.285552	0.776313	0.910346
68	0.226872	0.291498	0.779702	0.910071
69	0.230826	0.311488	0.768491	0.904922
70	0.228980	0.300393	0.771733	0.910588
71	0.213925	0.277741	0.784212	0.909732
72	0.206693	0.290652	0.782943	0.909832
73	0.208267	0.287860	0.787948	0.913635
74	0.199515	0.308752	0.766268	0.892927
75	0.214955	0.281414	0.788972	0.911661
76	0.195038	0.286552	0.781722	0.906435
77	0.190592	0.287339	0.779381	0.909000
78	0.194079	0.302530	0.768205	0.897636
79	0.195777	0.298638	0.786105	0.913569
80	0.195433	0.288200	0.785610	0.910199
81	0.188006	0.285435	0.784535	0.907214
82	0.192025	0.268992	0.791610	0.913187
83	0.190109	0.310414	0.764212	0.885539
